"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"313","Michael Mayer","TE","LV","5.8","1.9","0","-","-","13.5","1.5","BYE","4.1","3.7","2.8","1.9","-","","","","","","3.9","35.2"
"314","John Metchie III","WR","NYJ","0","0.5","1.3","2","0","0","-","0","BYE","0.1","12","15.5","3.7","","","","","","3.2","35.1"
"315","Joe Burrow","QB","CIN","8.8","7","-","-","-","-","-","-","-","BYE","-","-","19.2","","","","","","11.7","35.1"
"316","Isaiah Davis","RB","NYJ","1.8","1.1","0","3.7","4.8","0.6","4.2","15.4","BYE","1.6","1.1","0.7","0","","","","","","2.9","35"
"317","Samaje Perine","RB","CIN","1.6","0","0.1","0.4","3.9","4.2","3.1","16.5","0.5","BYE","-","-","4.4","","","","","","3.5","34.7"
"318","Tommy Tremble","TE","CAR","0.7","3.5","2.6","12.7","1.2","5.9","0.5","0.9","0","0","5.9","0","0.7","","","","","","2.7","34.6"
"319","Kyle Juszczyk","RB","SF","4.2","1","6.6","4.7","3.5","1.4","1.3","0.9","1.7","1.8","3.6","0","3.7","","","","","","2.6","34.4"
"320","Brashard Smith","RB","KC","0","0.2","1.3","5.1","5.1","3.6","10.6","0.8","0.7","BYE","1.8","5.1","0","","","","","","2.9","34.3"
"321","Mitchell Evans","TE","CAR","0","1.4","1.4","9.8","6.9","2.6","3.4","0","0","0","3.8","0","3.5","","","","","","2.5","32.8"
"322","Roman Wilson","WR","PIT","0","1.2","0","0","BYE","1.7","2.7","15.4","-1.1","10.5","2.2","0","0","","","","","","2.7","32.6"
"323","Jackson Hawes","TE","BUF","3.4","1","7","2","0","0","BYE","2.5","2.3","9.1","0","3.6","1.5","","","","","","2.7","32.4"
"324","Daniel Bellinger","TE","NYG","1.9","0","1.1","1.8","7.2","0","16.3","2.6","-","1.3","0","0","-","","","","","","2.9","32.2"
"324","Tre Harris","WR","LAC","1.6","4.4","0","0","0","4.7","3.3","7.8","2.8","1.4","1.7","BYE","4.5","","","","","","2.7","32.2"
"324","Jalen Tolbert","WR","DAL","0.5","2.6","5.9","8.1","0","1.3","2.1","11.7","0","BYE","0","-","0","","","","","","2.9","32.2"
"327","Jahan Dotson","WR","PHI","7.4","0.9","1.2","0","2.9","2.2","0","10.5","BYE","0","5.3","0","1.7","","","","","","2.7","32.1"
"328","New York Giants","DST","NYG","3","1","2","7","1","8","1","0","3","0","2","4","-","","","","","","2.7","32"
"329","Chris Moore","WR","WAS","3.9","-","3.5","0.9","0","12.1","6.9","0","0","0","3.8","BYE","-","","","","","","3.1","31.1"
"330","Isaac TeSlaa","WR","DET","7.8","3.4","0","0","7.7","0","0","BYE","0","1.6","0","0","10.5","","","","","","2.6","31"
"331","Kendre Miller","RB","NO","2.4","1.5","4.6","12.5","5.4","3.7","0.7","-","-","-","BYE","-","-","","","","","","4.4","30.8"
"332","Kalif Raymond","WR","DET","2.6","2.8","0.9","8.3","0","0","3.2","BYE","0","7.9","0","4.7","-","","","","","","2.8","30.4"
"332","Keaton Mitchell","RB","BAL","-","-","-","-","1.8","0","BYE","4.3","2.3","3.1","6.4","2.4","10.1","","","","","","3.8","30.4"
"334","Ja'Tavion Sanders","TE","CAR","3.7","8.9","2.1","-","-","-","0","3.4","1","5.7","4.2","1.1","0","","","","","","3","30.1"
"335","Brock Wright","TE","DET","0","10.3","0","0","7.9","0","3.8","BYE","1.6","0","1.8","4.4","-","","","","","","2.7","29.8"
"336","Tyler Johnson","WR","NYJ","4.1","0","4.2","-","0","0","7.5","13.9","BYE","0","0","-","-","","","","","","3.3","29.7"
"337","Isaiah Bond","WR","CLE","1","2","2.6","7.3","3.9","1.9","0","0","BYE","-","0.8","6.8","3.2","","","","","","2.7","29.5"
"338","Elijah Arroyo","TE","SEA","1.2","4.1","0","5.4","1.5","1.1","4.2","BYE","9.9","1","0","1","0","","","","","","2.5","29.4"
"339","Isaiah Likely","TE","BAL","-","-","-","0","1.7","1.6","BYE","1.8","7.5","2.7","2.5","1.5","10","","","","","","3.3","29.3"
"339","James Conner","RB","ARI","12.4","11.7","5.2","-","-","-","-","BYE","-","0","-","-","-","","","","","","7.3","29.3"
"341","Younghoe Koo","K","NYG","9","-","-","-","-","-","-","-","-","8","2","10","-","","","","","","7.3","29"
"342","Trey Benson","RB","ARI","8","6.4","6.6","7.9","-","-","-","BYE","-","-","0","-","-","","","","","","5.8","28.9"
"343","Tyrell Shavers","WR","BUF","0","0","3.4","0","0","4.2","BYE","0","1.2","2.9","17","0","-","","","","","","2.6","28.7"
"344","Tanner Hudson","TE","CIN","-","-","-","0","0","9","-","1.4","5.2","BYE","3.7","1.4","7.9","","","","","","3.6","28.6"
"345","Jerome Ford","RB","CLE","1","7.9","3","0.8","4.8","5.5","2","0.4","BYE","0.1","0.2","-0.3","3.2","","","","","","2.4","28.6"
"346","Hunter Renfrow","WR","CAR","2.1","20.3","1.6","2","1.2","1.2","-","-","-","-","-","-","-","","","","","","4.7","28.4"
"347","Brandin Cooks","WR","BUF","4.1","3.6","3.9","3.7","1","2.6","0.8","3.7","2.6","0","-","-","1.8","","","","","","2.5","27.8"
"348","Jeremy Ruckert","TE","NYJ","2.6","7","0","2.8","4.8","0","0","2.9","BYE","0.5","4.3","0","2.2","","","","","","2.3","27.1"
"349","Mike Evans","WR","TB","7.6","8.1","11.3","-","-","-","0","-","BYE","-","-","-","-","","","","","","6.8","27"
"350","Adam Trautman","TE","DEN","1","8.5","0","4.2","1.6","0","0","0","3.5","0.7","1.3","BYE","6.2","","","","","","2.3","27"
"351","Devin Neal","RB","NO","0.9","-","-","-","-","-","0.1","2.6","1.7","4.6","BYE","8.6","8.4","","","","","","3.8","26.9"
"352","Hunter Long","TE","JAC","7.1","0","2.2","9.8","0.8","2.9","2.6","BYE","1.1","-","-","-","-","","","","","","3.3","26.5"
"352","Charlie Kolar","TE","BAL","0","0","3.2","0","1.5","0","BYE","7.5","9.3","2.8","0","0","2.2","","","","","","2.2","26.5"
"354","Ray Davis","RB","BUF","0.6","2.4","0","0.3","0.1","8.9","BYE","1.6","0","0.3","0","6","6.2","","","","","","2.2","26.4"
"355","Harrison Mevis","K","LAR","-","-","-","-","-","-","-","BYE","-","6","3","13","4","","","","","","6.5","26"
"356","Zavier Scott","RB","MIN","-","-","5.5","13.4","-0.2","BYE","1.1","3.4","0","-","-","-","2.6","","","","","","3.7","25.8"
"357","Mitch Tinsley","WR","CIN","0","7.8","0","1.4","-","-","-","-","3.2","BYE","0","9.9","3.2","","","","","","3.2","25.5"
"358","Demarcus Robinson","WR","SF","-","-","-","2.5","5.4","5.4","0","3.5","0","4.9","1.8","1.3","0.6","","","","","","2.5","25.4"
"359","Tim Patrick","WR","JAC","0","0","2.1","0.4","0","9.1","2.7","BYE","-","0","9.5","0","1.6","","","","","","2.3","25.4"
"360","Elijah Higgins","TE","ARI","0.8","5.5","1.2","0","2","4.4","0.8","BYE","4.5","2.9","0.1","0","2.7","","","","","","2.1","24.9"
"361","Tutu Atwell","WR","LAR","0.9","0","0","15.3","8.2","-","0","BYE","-","-","-","-","-","","","","","","4.1","24.4"
"362","Shedeur Sanders","QB","CLE","-","-","-","-","-","-","-","-","BYE","-","2.5","11.3","10.6","","","","","","8.1","24.3"
"362","Zay Jones","WR","ARI","0.9","0","3.5","-","1.8","10.4","7.7","BYE","0","0","-","-","-","","","","","","3","24.3"
"364","Elijah Moore","WR","FA","1.6","10.2","5.1","0","-","0","-","1.9","3.3","1.8","-","0.2","-","","","","","","2.7","24.1"
"365","Luke Farrell","TE","SF","0.9","8.5","0","1","1.3","0","1.6","0","1.4","8.5","0","0.8","0","","","","","","1.8","24"
"366","Jordan Whittington","WR","LAR","0.5","5.2","2.4","1.2","4.3","3.8","1.9","BYE","0","0","1.4","3.2","0","","","","","","2","23.9"
"367","Tyler Huntley","QB","BAL","-","-","-","-","-","6.6","BYE","16.7","-","-","-","-","-","","","","","","11.7","23.4"
"368","Devontez Walker","WR","BAL","-","15.6","3.9","0","0","-","BYE","-","-","-","0","3.5","0","","","","","","3.3","23"
"369","Miles Sanders","RB","DAL","3.5","8.9","6.8","3.5","-","-","-","-","-","BYE","-","-","-","","","","","","5.7","22.7"
"370","David Sills V","WR","ATL","0","0","1.4","0","BYE","0","0","2.4","0","0","1.6","8.6","8.5","","","","","","1.9","22.5"
"371","Terrance Ferguson","TE","LAR","-","0","-","-","2.6","0","9.6","BYE","6.4","3.7","0","0","0","","","","","","2.5","22.3"
"372","Antonio Gibson","RB","NE","0.3","9.3","0.8","8.7","3.1","-","-","-","-","-","-","-","-","","","","","","4.4","22.2"
"373","Lucas Havrisik","K","GB","-","-","-","-","BYE","10","11","-","-","-","1","-","-","","","","","","7.3","22"
"373","Matthew Wright","K","FA","-","-","-","-","-","5","-","1","-","4","12","-","-","","","","","","5.5","22"
"375","Xavier Smith","WR","LAR","4.1","0","0","0","0","0","2.5","BYE","2.2","1.9","1.3","-","9.7","","","","","","2","21.7"
"376","Josh Oliver","TE","MIN","1","0","7.7","0","10.5","BYE","1.4","0","-","-","0.2","0.9","-","","","","","","2.4","21.7"
