"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"59","Emeka Egbuka","WR","TB","19.6","8.9","8.5","16.1","24.3","2.4","5.8","3.5","BYE","17.5","4","3.2","4.2","","","","","","9.8","118"
"60","Drake London","WR","ATL","5.5","2.9","5.5","17","BYE","21.8","4.2","-","29.8","18.4","11.9","-","-","","","","","","13","117"
"61","Jaylen Warren","RB","PIT","11.9","13.4","8.1","-","BYE","6.3","15.8","7.3","14.9","9.1","6.7","12.8","10.4","","","","","","10.6","116.7"
"62","Ka'imi Fairbairn","K","HOU","14","9","4","10","18","BYE","8","14","18","-","-","12","9","","","","","","11.6","116"
"63","Marcus Mariota","QB","WAS","0","-","20.3","17.2","-","-","4.9","13.3","0","18.7","16.4","BYE","24.3","","","","","","12.8","115.2"
"64","Kenneth Walker III","RB","SEA","2.4","17.8","17","11","8.6","3.7","6.6","BYE","6.1","7","17.1","10.1","7.4","","","","","","9.6","114.8"
"65","Houston Texans","DST","HOU","6","7","5","14","11","BYE","18","5","8","14","9","15","2","","","","","","9.5","114"
"66","Jayden Daniels","QB","WAS","20.1","19.7","-","-","17.1","22.6","17.7","-","16.2","-","-","BYE","-","","","","","","18.9","113.6"
"67","Evan McPherson","K","CIN","5","7","5","3","8","5","17","8","11","BYE","8","12","24","","","","","","9.4","113"
"68","Nico Collins","WR","HOU","2.5","11.2","14.4","7.9","12","BYE","2.7","-","7.5","15.6","15.2","5.5","16.5","","","","","","10.1","111"
"69","Chase McLaughlin","K","TB","6","2","21","16","12","7","5","17","BYE","5","8","1","10","","","","","","9.2","110"
"70","David Montgomery","RB","DET","4.3","12.1","28.4","1.2","17.2","6.1","3.9","BYE","9","9.1","3.7","3.7","10.8","","","","","","9.1","109.5"
"71","Chris Boswell","K","PIT","14","12","3","6","BYE","15","8","20","10","6","10","4","1","","","","","","9.1","109"
"72","Kareem Hunt","RB","KC","2.6","3.4","10.4","4.7","17.7","3.4","1.8","16.2","11.5","BYE","12.2","17","8","","","","","","9.1","108.9"
"73","TreVeyon Henderson","RB","NE","5.1","4","4.7","10.6","2.7","3.6","0.5","5.5","8.7","27","27.3","8.1","-","","","","","","9","107.8"
"74","Jameson Williams","WR","DET","2.6","16.8","4.3","3.7","1","12.6","0","BYE","12.6","17.9","15.7","0","19.9","","","","","","8.9","107.1"
"75","Chris Olave","WR","NO","5.4","5.4","5.7","7","5.9","9.8","21.8","6","5.7","16.4","BYE","7","10.7","","","","","","8.9","106.8"
"76","Jaylen Waddle","WR","MIA","3","12.8","9.9","4.8","17","9.8","1.5","15.9","8.2","14.4","5.2","BYE","4","","","","","","8.9","106.5"
"77","Michael Pittman Jr.","WR","IND","14","4","13.3","10.1","9.9","2","13.8","15.5","11.5","1.9","BYE","8.7","1.3","","","","","","8.8","106"
"78","A.J. Brown","WR","PHI","0.8","2.7","16.9","0.7","4.3","8","24.1","-","BYE","1.3","4.9","17","25.2","","","","","","9.6","105.9"
"79","Los Angeles Rams","DST","LAR","11","8","6","7","1","17","11","BYE","9","6","9","18","2","","","","","","8.8","105"
"80","J.K. Dobbins","RB","DEN","12.8","14.5","14.3","10.5","14.4","4","8","12.1","5.9","8.4","-","BYE","-","","","","","","10.5","104.9"
"81","Eddy Pineiro","K","SF","-","10","12","7","17","18","11","1","12","2","14","-","-","","","","","","10.4","104"
"81","Tyler Loop","K","BAL","13","12","7","9","4","3","BYE","13","4","14","12","11","2","","","","","","8.7","104"
"83","Travis Kelce","TE","KC","10.7","6.1","2.6","4.8","12.1","7.8","5.4","15.9","8.6","BYE","15.1","4.4","10.5","","","","","","8.7","104"
"84","Cam Skattebo","RB","NYG","0.9","11.9","18.1","11","8.4","29","15.4","9","-","-","-","-","-","","","","","","13","103.7"
"85","Spencer Rattler","QB","NO","11.5","21.7","12.7","13.9","15.1","11.1","13.5","3.6","-","-","BYE","-","-","","","","","","12.9","103.1"
"86","Courtland Sutton","WR","DEN","12.1","0.6","17.8","14.1","9.9","1.7","10.7","6.7","9","2.4","5.9","BYE","12.2","","","","","","8.6","103.1"
"87","Rome Odunze","WR","CHI","9.7","24.8","12.2","12.9","BYE","3.2","3.1","11.4","0","14.6","4.1","5.3","0.8","","","","","","8.5","102.1"
"88","Nick Folk","K","NYJ","10","6","10","11","7","12","7","12","BYE","9","2","5","11","","","","","","8.5","102"
"89","Tee Higgins","WR","CIN","3.3","11.6","1.5","3.2","8.2","6.2","15.6","10.4","26.1","BYE","12.3","3.1","-","","","","","","9.2","101.5"
"90","Cam Little","K","JAC","15","10","5","9","9","0","1","BYE","15","13","5","13","6","","","","","","8.4","101"
"90","Will Reichard","K","MIN","9","8","14","8","3","BYE","18","6","11","9","5","10","0","","","","","","8.4","101"
"90","Andy Borregales","K","NE","8","9","2","6","13","5","7","13","6","4","10","18","-","","","","","","8.4","101"
"93","Jake Bates","K","DET","7","10","9","13","5","5","8","BYE","7","13","5","12","6","","","","","","8.3","100"
"93","Harrison Butker","K","KC","11","7","13","13","4","6","7","4","8","BYE","7","16","4","","","","","","8.3","100"
"95","Tyler Warren","TE","IND","7.9","7.9","3.8","13.3","10.4","12.3","12.9","5.3","2.6","9.9","BYE","4.5","8.2","","","","","","8.3","99"
"95","Pittsburgh Steelers","DST","PIT","2","5","16","10","BYE","10","1","-4","18","5","21","10","5","","","","","","8.3","99"
"97","Kyle Monangai","RB","CHI","1.1","3.6","2","1.8","BYE","4.4","15.4","2.4","19.8","8.8","9.7","10.8","19","","","","","","8.2","98.8"
"98","Zach Charbonnet","RB","SEA","10.7","1","-","10.4","10.8","3.7","17.5","BYE","4.6","14.3","4.7","9.5","11.2","","","","","","8.9","98.4"
"99","Ladd McConkey","WR","LAC","7.4","4.8","4.1","1.1","9.9","16","6.7","14.8","5.6","16.7","1.3","BYE","9.9","","","","","","8.2","98.3"
"100","DeVonta Smith","WR","PHI","1.6","5.3","12","2.9","11.4","4.9","24.3","8.4","BYE","12.9","0.8","8.9","4.8","","","","","","8.2","98.2"
"101","RJ Harvey","RB","DEN","6.9","2.4","1.6","15.8","3","2.5","6.2","23.1","11.6","1.8","5","BYE","18.2","","","","","","8.2","98.1"
"102","Jacksonville Jaguars","DST","JAC","11","8","12","15","7","2","-4","BYE","3","11","12","7","14","","","","","","8.2","98"
"103","DK Metcalf","WR","PIT","8.3","8","9.2","18.6","BYE","15.5","5","11.5","0.6","3.5","4.9","9.4","3.2","","","","","","8.1","97.7"
